chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
0.079#-0.094#0.024#0.992,-0.152#0.383#-0.316#0.855,-0.536#0.399#-0.062#0.742,-0.209#-0.336#0.242#0.886,-0.55#-0.352#-0.095#0.752,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.081#-0.111#0.022#0.99,-0.152#0.383#-0.316#0.855,-0.536#0.399#-0.062#0.742,-0.175#-0.294#0.28#0.897,-0.485#-0.343#-0.042#0.804,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.081#-0.111#0.022#0.99,-0.152#0.317#-0.355#0.866,-0.513#0.329#-0.132#0.782,-0.175#-0.294#0.28#0.897,-0.485#-0.343#-0.042#0.804,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.084#-0.123#0.021#0.989,-0.152#0.317#-0.355#0.866,-0.513#0.329#-0.132#0.782,-0.14#-0.246#0.332#0.9,-0.432#-0.293#0.036#0.852,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.084#-0.123#0.021#0.989,-0.162#0.247#-0.411#0.862,-0.487#0.253#-0.198#0.812,-0.14#-0.246#0.332#0.9,-0.432#-0.293#0.036#0.852,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.081#-0.132#0.019#0.988,-0.162#0.247#-0.411#0.862,-0.487#0.253#-0.198#0.812,-0.127#-0.165#0.376#0.903,-0.384#-0.237#0.129#0.883,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.081#-0.132#0.019#0.988,-0.18#0.171#-0.463#0.851,-0.466#0.183#-0.26#0.826,-0.127#-0.165#0.376#0.903,-0.332#-0.173#0.212#0.903,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.077#-0.138#0.015#0.987,-0.18#0.171#-0.463#0.851,-0.466#0.183#-0.26#0.826,-0.107#-0.087#0.425#0.895,-0.332#-0.173#0.212#0.903,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.077#-0.138#0.015#0.987,-0.21#0.095#-0.506#0.832,-0.449#0.122#-0.32#0.825,-0.107#-0.087#0.425#0.895,-0.321#-0.057#0.258#0.909,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.077#-0.139#0.011#0.987,-0.21#0.095#-0.506#0.832,-0.449#0.122#-0.32#0.825,-0.099#0.011#0.468#0.878,-0.321#-0.057#0.258#0.909,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.08#-0.126#0.011#0.989,-0.235#0.03#-0.542#0.806,-0.428#0.054#-0.37#0.823,-0.121#0.101#0.492#0.856,-0.332#0.034#0.301#0.893,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.08#-0.126#0.011#0.989,-0.237#-0.014#-0.571#0.786,-0.391#-0.009#-0.423#0.818,-0.121#0.101#0.492#0.856,-0.332#0.034#0.301#0.893,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.076#-0.11#0.012#0.991,-0.237#-0.014#-0.571#0.786,-0.391#-0.009#-0.423#0.818,-0.162#0.154#0.521#0.824,-0.355#0.107#0.35#0.86,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.079#-0.104#0.015#0.991,-0.232#-0.04#-0.594#0.769,-0.372#-0.072#-0.455#0.806,-0.172#0.146#0.553#0.802,-0.404#0.169#0.371#0.819,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.079#-0.104#0.015#0.991,-0.221#-0.051#-0.612#0.758,-0.381#-0.121#-0.477#0.783,-0.172#0.146#0.553#0.802,-0.404#0.169#0.371#0.819,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.085#-0.105#0.019#0.991,-0.221#-0.051#-0.612#0.758,-0.381#-0.121#-0.477#0.783,-0.17#0.121#0.581#0.786,-0.464#0.176#0.365#0.788,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.085#-0.105#0.019#0.991,-0.221#-0.059#-0.629#0.743,-0.393#-0.131#-0.505#0.757,-0.17#0.121#0.581#0.786,-0.464#0.176#0.365#0.788,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
